AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DLC count,Supported languages,Full audio languages,Header image,Windows,Mac,Linux,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Publishers,Categories,Genres
20200,Galactic Bowling,"Oct 21, 2008",0 - 20000,0,0,19.99,0,['English'],[],https://cdn.akamai.steamstatic.com/steam/apps/20200/header.jpg?t=1640121033,True,False,False,0,0,6,11,30,0,0,0,0,0,Perpetual FX Creative,"Single-player,Multi-player,Steam Achievements,Partial Controller Support","Casual,Indie,Sports"
655370,Train Bandit,"Oct 12, 2017",0 - 20000,0,0,0.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",[],https://cdn.akamai.steamstatic.com/steam/apps/655370/header.jpg?t=1617500526,True,True,False,0,0,53,5,12,0,0,0,0,0,Wild Rooster,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie"
1732930,Jolt Project,"Nov 17, 2021",0 - 20000,0,0,4.99,0,"['English', 'Portuguese - Brazil']",[],https://cdn.akamai.steamstatic.com/steam/apps/1732930/header.jpg?t=1637149386,True,False,False,0,0,0,0,0,0,0,0,0,0,Campião Games,Single-player,"Action,Adventure,Indie,Strategy"
1355720,Henosis™,"Jul 23, 2020",0 - 20000,0,0,5.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",[],https://cdn.akamai.steamstatic.com/steam/apps/1355720/header.jpg?t=1639875115,True,True,True,0,0,3,0,0,0,0,0,0,0,Odd Critter Games,"Single-player,Full controller support","Adventure,Casual,Indie"
1139950,Two Weeks in Painland,"Feb 3, 2020",0 - 20000,0,0,0.0,0,"['English', 'Spanish - Spain']",[],https://cdn.akamai.steamstatic.com/steam/apps/1139950/header.jpg?t=1595003825,True,True,False,0,0,50,8,17,0,0,0,0,0,Unusual Games,"Single-player,Steam Achievements","Adventure,Indie"
1469160,Wartune Reborn,"Feb 26, 2021",50000 - 100000,68,0,0.0,0,['English'],[],https://cdn.akamai.steamstatic.com/steam/apps/1469160/header.jpg?t=1617078164,True,False,False,0,0,87,49,0,0,0,0,0,0,7Road,"Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,In-App Purchases","Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy"
1659180,TD Worlds,"Jan 9, 2022",0 - 20000,3,0,10.99,1,"['English', 'Russian', 'Danish']",[],https://cdn.akamai.steamstatic.com/steam/apps/1659180/header.jpg?t=1654195425,True,False,False,0,0,21,7,62,0,0,0,0,0,MAKSIM VOLKAU,"Single-player,Steam Achievements,Steam Cloud","Indie,Strategy"
1968760,Legend of Rome - The Wrath of Mars,"May 5, 2022",0 - 20000,2,0,9.99,0,"['English', 'German']","['English', 'German']",https://cdn.akamai.steamstatic.com/steam/apps/1968760/header.jpg?t=1651734619,True,False,False,0,0,0,0,0,0,0,0,0,0,magnussoft,"Single-player,Steam Cloud",Casual
1178150,MazM: Jekyll and Hyde,"Apr 2, 2020",0 - 20000,1,0,14.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",[],https://cdn.akamai.steamstatic.com/steam/apps/1178150/header.jpg?t=1612253064,True,False,False,0,0,76,6,25,0,0,0,0,0,"CFK Co., Ltd.","Single-player,Steam Achievements,Full controller support","Adventure,RPG,Simulation,Strategy"
320150,Deadlings: Rotten Edition,"Nov 11, 2014",50000 - 100000,0,0,3.99,0,"['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese', 'Russian', 'Japanese']","['English', 'Japanese']",https://cdn.akamai.steamstatic.com/steam/apps/320150/header.jpg?t=1447363358,True,True,True,0,0,225,45,32,0,703,0,782,0,ONE MORE LEVEL,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Adventure,Indie"
